                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.0923,                0.52135,                 1.1163,                0.92231,                0.94927,                0.94594,                0.62012,                 1.2085,                0.51272,                 1.1857,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.0931,                0.51895,                 1.1163,                0.94495,                0.92871,                0.95759,                0.63459,                 1.1977,                0.50553,                 1.1803,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.0978,                0.52136,                 1.1106,                0.93566,                0.93834,                0.95626,                0.63157,                 1.2041,                0.50295,                 1.1799,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.0893,                0.52158,                 1.1142,                0.93081,                 0.9332,                 0.9432,                0.62217,                 1.2084,                0.51115,                 1.1843,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.0874,                0.52066,                 1.1091,                0.93822,                0.92389,                0.94535,                0.62346,                 1.2038,                0.50361,                 1.1804,               0.007525,               0.007525,               0.007525
                    127,                 1.0982,                0.52112,                 1.1175,                0.91825,                 0.9415,                0.93843,                0.62141,                 1.2021,                0.50511,                 1.1807,              0.0075052,              0.0075052,              0.0075052
                    128,                  1.085,                0.51526,                 1.1152,                0.93159,                0.94456,                0.94801,                0.62435,                 1.2039,                0.50661,                  1.182,              0.0074854,              0.0074854,              0.0074854
                    129,                   1.09,                0.51867,                 1.1147,                0.92614,                0.93738,                0.94332,                0.61696,                 1.2016,                0.51136,                 1.1837,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.0844,                0.50891,                 1.1095,                0.91692,                0.94625,                0.94134,                0.61786,                 1.2072,                0.50442,                 1.1814,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.0844,                0.51511,                 1.1076,                0.92834,                0.93738,                0.94901,                 0.6291,                 1.1974,                0.49817,                 1.1757,               0.007426,               0.007426,               0.007426
                    132,                 1.0852,                 0.5104,                 1.1114,                0.91792,                0.94798,                0.94599,                0.62383,                 1.1943,                0.50004,                 1.1737,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.0822,                0.51205,                 1.1049,                0.92387,                0.94798,                0.94401,                0.62315,                 1.1848,                0.49202,                  1.167,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.0719,                0.50649,                 1.1086,                0.91948,                0.94614,                0.93598,                0.62109,                 1.1843,                0.49445,                 1.1673,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.0703,                0.50932,                 1.1037,                0.93557,                0.94316,                0.94233,                0.62489,                 1.1802,                 0.4971,                 1.1659,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.0767,                0.51016,                 1.1037,                0.91831,                0.94218,                0.93553,                0.61981,                 1.1767,                0.50487,                 1.1643,               0.007327,               0.007327,               0.007327
                    137,                 1.0782,                0.51161,                 1.0964,                0.91846,                0.93834,                0.92831,                0.61354,                 1.1854,                0.50442,                 1.1662,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.0683,                0.50466,                 1.0978,                0.91035,                0.94897,                0.93386,                0.61709,                 1.1815,                0.50812,                 1.1612,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.0706,                0.50766,                 1.1053,                0.91709,                0.93773,                0.92852,                 0.6156,                 1.1761,                 0.5022,                 1.1609,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.0704,                0.50975,                 1.1016,                0.90508,                0.94618,                0.92804,                0.61436,                 1.1811,                0.50891,                   1.16,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.0767,                0.51159,                 1.1071,                0.91175,                 0.9456,                0.93437,                  0.618,                 1.1796,                0.50573,                 1.1584,               0.007228,               0.007228,               0.007228
                    142,                 1.0712,                0.50904,                 1.1031,                0.90625,                0.94605,                0.93447,                0.61498,                 1.1736,                0.50854,                 1.1549,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.0721,                0.50732,                 1.0988,                0.90706,                0.94027,                0.92554,                0.61441,                 1.1679,                 0.5137,                 1.1497,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.0787,                  0.508,                 1.1028,                0.92256,                0.94118,                 0.9356,                0.62454,                 1.1662,                0.49518,                   1.15,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.0617,                0.50136,                 1.0946,                0.92245,                0.93964,                0.93439,                0.62021,                  1.168,                0.49842,                  1.151,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.0649,                0.50427,                 1.1012,                0.93759,                0.94069,                 0.9449,                0.62885,                 1.1671,                0.48565,                 1.1532,               0.007129,               0.007129,               0.007129
                    147,                 1.0554,                0.50363,                 1.0966,                0.93221,                 0.9406,                0.94356,                0.62816,                 1.1715,                0.48925,                 1.1562,              0.0071092,              0.0071092,              0.0071092
